id_wycieczki,id_osoby,data_platnosci,ocena
1,150,2023-05-08,5.0
1,85,2023-05-09,
1,493,2023-06-11,5.0
1,292,2023-05-11,
1,209,2023-06-18,4.0
1,262,2023-06-01,4.0
1,291,2023-05-16,4.0
1,432,2023-06-08,5.0
1,193,2023-05-16,2.0
1,87,2023-06-18,2.0
1,168,2023-05-17,4.0
1,88,2023-05-30,1.0
1,14,2023-05-25,
1,378,2023-05-08,
1,132,2023-06-17,5.0
1,137,2023-05-19,
1,242,2023-06-08,5.0
1,235,2023-06-15,4.0
1,144,2023-05-31,5.0
1,470,2023-05-12,3.0
1,336,2023-05-13,5.0
1,89,2023-05-13,5.0
1,481,2023-05-29,
1,288,2023-06-05,
1,238,2023-05-15,4.0
1,390,2023-05-07,5.0
1,90,2023-05-14,
1,203,2023-06-08,3.0
1,76,2023-06-14,2.0
1,210,2023-05-16,3.0
1,451,2023-05-29,5.0
1,389,2023-06-17,2.0
1,429,2023-06-02,2.0
1,303,2023-06-13,4.0
1,118,2023-06-16,4.0
1,443,2023-06-15,5.0
1,77,2023-06-09,1.0
1,60,2023-05-16,5.0
1,436,2023-05-16,3.0
1,58,2023-05-06,
1,29,2023-06-18,
1,65,2023-05-24,5.0
1,50,2023-06-18,5.0
1,109,2023-05-11,
1,263,2023-05-19,4.0
1,382,2023-05-21,5.0
1,399,2023-06-18,2.0
1,362,2023-06-17,
1,54,2023-06-04,5.0
1,467,2023-06-16,5.0
2,423,2023-06-06,
2,181,2023-06-02,5.0
2,113,2023-05-11,3.0
2,170,2023-05-21,2.0
2,108,2023-05-25,
2,58,2023-05-06,
2,263,2023-05-13,
2,436,2023-06-15,2.0
2,255,2023-05-14,5.0
2,19,2023-05-16,5.0
2,292,2023-05-25,4.0
2,314,2023-06-04,
2,363,2023-06-10,5.0
2,321,2023-05-07,4.0
2,234,2023-06-05,
2,26,2023-05-20,5.0
2,305,2023-06-05,5.0
2,277,2023-05-21,2.0
